hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_mae,val_rmse,test_mae,test_rmse
"(64, 32)",2,96,0.0032,0.0005,6,13,0.37679263945871205,0.46202616770029575,0.36658620347760923,0.43504062550166883
"(64, 32)",2,96,0.0032,0.0005,7,13,0.38049168543428996,0.4608982294892493,0.36739261623626013,0.434600969219204
"(64, 32)",2,96,0.0032,0.0005,8,15,0.35823189786383997,0.466239150098517,0.34753273315203115,0.4299736273761029
"(64, 32)",2,96,0.0032,0.0005,9,15,0.365205686910857,0.4651655469525092,0.3576928644636151,0.4337830991008884
"(64, 32)",2,96,0.0032,0.0005,10,15,0.36565393645484573,0.46796854140149163,0.3581304826869524,0.43038876552713523
"(64, 32)",2,96,0.0032,0.0006,6,13,0.3781162880428539,0.4636423491391321,0.36662159539677464,0.43463815098774794
"(64, 32)",2,96,0.0032,0.0006,7,13,0.3807061831640794,0.4607021574775372,0.3667797241274535,0.4337797675621509
"(64, 32)",2,96,0.0032,0.0006,8,13,0.3764827411528242,0.4650260750181431,0.36018162986259805,0.4341155491322389
"(64, 32)",2,96,0.0032,0.0006,9,15,0.36520365125302345,0.46672607526143634,0.3565500508510235,0.4325139099350516
"(64, 32)",2,96,0.0032,0.0006,10,15,0.36469634469849943,0.4682320658702974,0.358278199409301,0.4327386411379203
"(64, 32)",2,96,0.0032,0.0007,6,15,0.35194960910605144,0.46764479871562564,0.33641440697934144,0.4186660236580621
"(64, 32)",2,96,0.0032,0.0007,7,13,0.37878320562470397,0.46061183221937435,0.3661377453905211,0.43418521815192557
"(64, 32)",2,96,0.0032,0.0007,8,15,0.356216474623765,0.4629285182541451,0.34604352336173877,0.42535986369060114
"(64, 32)",2,96,0.0032,0.0007,9,15,0.3671857232019983,0.4677213213650625,0.35523242480801787,0.43173589104697807
"(64, 32)",2,96,0.0032,0.0007,10,15,0.3641678294259639,0.46680275736188387,0.35933550411955983,0.4329298247315621
"(64, 32)",2,96,0.0032,0.0008,6,13,0.37743131385153345,0.46184529843831523,0.36770891853380155,0.43545204564616613
"(64, 32)",2,96,0.0032,0.0008,7,13,0.377645932958448,0.4609124711620872,0.36549030791443726,0.4340455783780117
"(64, 32)",2,96,0.0032,0.0008,8,15,0.3577970133140795,0.4627213375357593,0.3459081264320487,0.4242859455131587
"(64, 32)",2,96,0.0032,0.0008,9,15,0.3659850988981427,0.46815597158095956,0.35631174077826683,0.43412773685043615
"(64, 32)",2,96,0.0032,0.0008,10,15,0.3664495022818188,0.46807945182912497,0.35798031407005004,0.43123076937620786
"(64, 32)",2,96,0.0032,0.0009,6,13,0.3785341139593786,0.46403721097155015,0.36697990227190735,0.43762396362070144
"(64, 32)",2,96,0.0032,0.0009,7,15,0.35116696034238276,0.46863820587549615,0.3312024099083806,0.4195766702544361
"(64, 32)",2,96,0.0032,0.0009,8,15,0.35364198702068655,0.46254281108844425,0.34469989587731004,0.42472016965500087
"(64, 32)",2,96,0.0032,0.0009,9,15,0.3645928415856308,0.46605789804602527,0.3538131196037692,0.4328860650666398
"(64, 32)",2,96,0.0032,0.0009,10,15,0.36492073776965545,0.4668248050232961,0.35908400855216066,0.4327752949635964
"(64, 32)",2,96,0.0033,0.0001,6,13,0.37594247865343206,0.4614528787209586,0.36657830234009015,0.4378714356317853
"(64, 32)",2,96,0.0033,0.0001,7,13,0.3782560444059489,0.4611055806493989,0.36521239838342995,0.43340039145796677
"(64, 32)",2,96,0.0033,0.0001,8,15,0.35846915667162293,0.4672326576410213,0.343076170788511,0.4244368861100033
"(64, 32)",2,96,0.0033,0.0001,9,15,0.3636997690852516,0.4673470931213197,0.3544694983574347,0.43135562796124854
"(64, 32)",2,96,0.0033,0.0001,10,15,0.36266382739419517,0.4652497050712127,0.3580472391569002,0.43453321962712327
"(64, 32)",2,96,0.0033,0.0002,6,13,0.3758647412548947,0.46146151712563044,0.365290506456016,0.4377500190104642
"(64, 32)",2,96,0.0033,0.0002,7,13,0.3781564402575595,0.4599083335801154,0.36526836336097657,0.4320631558683287
"(64, 32)",2,96,0.0033,0.0002,8,15,0.3562021023069774,0.46951532278606706,0.33940004018713904,0.42360768201110627
"(64, 32)",2,96,0.0033,0.0002,9,15,0.3617390147696087,0.465664828166653,0.3550245704410401,0.4339231085422241
"(64, 32)",2,96,0.0033,0.0002,10,15,0.3633177635818303,0.4650249992725084,0.3620449847299211,0.4350067479468023
"(64, 32)",2,96,0.0033,0.0003,6,15,0.34753791955666696,0.45859947583138566,0.33920561563236945,0.4227169933769786
"(64, 32)",2,96,0.0033,0.0003,7,13,0.38166910515008096,0.46356531432933745,0.3657599799649149,0.4323162729247012
"(64, 32)",2,96,0.0033,0.0003,8,15,0.35961604751444204,0.4716890518870052,0.3479874498258291,0.4330718305349244
"(64, 32)",2,96,0.0033,0.0003,9,15,0.3586522998876824,0.46551633012542737,0.3506583774286627,0.4307469185507471
"(64, 32)",2,96,0.0033,0.0003,10,15,0.3665443112302571,0.4668371474734953,0.3600492940860238,0.43413108935881844
"(64, 32)",2,96,0.0033,0.0004,6,13,0.3794572884510105,0.4623713731738143,0.37078446553804234,0.44069206248680126
"(64, 32)",2,96,0.0033,0.0004,7,13,0.3796073773109683,0.4598640926895473,0.3638808532400821,0.43181712846845566
"(64, 32)",2,96,0.0033,0.0004,8,15,0.3561674204220096,0.4670668743730667,0.3415660897284806,0.42526463073973925
"(64, 32)",2,96,0.0033,0.0004,9,15,0.35955101280222757,0.4643645007356787,0.3524333745838328,0.4319605950026345
"(64, 32)",2,96,0.0033,0.0004,10,15,0.3652197498602249,0.46814042287834295,0.3640431233443014,0.43654461658560084
"(64, 32)",2,96,0.0033,0.0005,6,13,0.37841087355504643,0.4632875119811486,0.37050424962268463,0.43963186407786076
"(64, 32)",2,96,0.0033,0.0005,7,13,0.37930764170487435,0.4611167419554593,0.3649147264954544,0.43346835435959563
"(64, 32)",2,96,0.0033,0.0005,8,13,0.37701994127881644,0.4633581194896962,0.3604326750420947,0.43400528709293185
"(64, 32)",2,96,0.0033,0.0005,9,15,0.36152240903413846,0.46699266841613163,0.3526364371387613,0.4322343372948871
"(64, 32)",2,96,0.0033,0.0005,10,15,0.36758216390200393,0.4652693484289274,0.3624810709014799,0.4366343711134028
"(64, 32)",2,96,0.0033,0.0006,6,15,0.3482808060569138,0.45892973442192736,0.3420974258245879,0.4231566840365195
"(64, 32)",2,96,0.0033,0.0006,7,13,0.3788766253848523,0.4607348810001516,0.36296713014509463,0.43204922044149163
"(64, 32)",2,96,0.0033,0.0006,8,13,0.3755106907709066,0.4618133261061762,0.3619190591746792,0.4345686802981282
"(64, 32)",2,96,0.0033,0.0006,9,15,0.36029751186506254,0.4632087091246965,0.3526989794257711,0.4294573709871931
"(64, 32)",2,96,0.0033,0.0006,10,15,0.370487651419926,0.46871532279117933,0.3643751938388622,0.4364695124529653
"(64, 32)",2,96,0.0033,0.0007,6,15,0.34975085435864994,0.46277833508105415,0.3424617470077675,0.42327112269034095
"(64, 32)",2,96,0.0033,0.0007,7,15,0.3498792289777148,0.46751268896280135,0.33302381015531096,0.4219532917549088
"(64, 32)",2,96,0.0033,0.0007,8,15,0.35850124210814455,0.4681864547795258,0.3421994805337343,0.4271592790413695
"(64, 32)",2,96,0.0033,0.0007,9,15,0.36059114739276843,0.4631103258280653,0.3500164331996652,0.42793765787786575
"(64, 32)",2,96,0.0033,0.0007,10,15,0.3678958370977234,0.46701701841726967,0.35983557458770266,0.4340926157694175
"(64, 32)",2,96,0.0033,0.0008,6,15,0.3519048093901239,0.46250500686072454,0.3412489421114418,0.423937462769781
"(64, 32)",2,96,0.0033,0.0008,7,13,0.38186596757826036,0.46281486930131893,0.3627578414162983,0.4329566872413844
"(64, 32)",2,96,0.0033,0.0008,8,15,0.3558989494641625,0.4670844405839446,0.3420563842238468,0.42784327239276615
"(64, 32)",2,96,0.0033,0.0008,9,15,0.36004494000552173,0.4649043752001485,0.35226970296285115,0.4304478605545451
"(64, 32)",2,96,0.0033,0.0008,10,15,0.3633956066146064,0.46564501362160543,0.35890658219301,0.43398090125786193
"(64, 32)",2,96,0.0033,0.0009,6,15,0.34722816189963396,0.46193238971448386,0.3444231049416488,0.4272310238788584
"(64, 32)",2,96,0.0033,0.0009,7,13,0.3778945622743059,0.46077047083838624,0.36395509336348575,0.4336096111363281
"(64, 32)",2,96,0.0033,0.0009,8,15,0.35770854521719075,0.47100116755381644,0.3421329125860239,0.426906516501421
"(64, 32)",2,96,0.0033,0.0009,9,15,0.36261736183232735,0.4662450180694837,0.3555283514796248,0.43316348443755065
"(64, 32)",2,96,0.0033,0.0009,10,15,0.36736074295324317,0.4661651055056902,0.36490310254952296,0.4366218665530898
"(64, 32)",2,96,0.0034,0.0001,6,13,0.3773463701082066,0.46298477176568353,0.368617329309376,0.43949965755418074
"(64, 32)",2,96,0.0034,0.0001,7,13,0.3799722536298079,0.4621283893018426,0.36316365696231706,0.4301296145377829
"(64, 32)",2,96,0.0034,0.0001,8,15,0.3605996418002823,0.46758474416627055,0.34461709913308464,0.4264184281682667
"(64, 32)",2,96,0.0034,0.0001,9,15,0.3615665841260697,0.46251435580475536,0.3458532689792324,0.4212771232136764
"(64, 32)",2,96,0.0034,0.0001,10,15,0.3635499904695895,0.46826980021522807,0.35800550601945363,0.43215322647843235
"(64, 32)",2,96,0.0034,0.0002,6,15,0.34681650035868133,0.45796830360263724,0.341807533449481,0.42498734023995605
"(64, 32)",2,96,0.0034,0.0002,7,13,0.3798370537560834,0.46414029097754655,0.36407645353013157,0.4338571393072957
"(64, 32)",2,96,0.0034,0.0002,8,13,0.3753006582827466,0.4623254236726286,0.358133710231704,0.42956878509531443
"(64, 32)",2,96,0.0034,0.0002,9,15,0.36051810049191796,0.46408843618804196,0.34181287662844867,0.42362276365717044
"(64, 32)",2,96,0.0034,0.0002,10,15,0.36222317286129785,0.4677073197123421,0.35860399198701526,0.4320392543291319
"(64, 32)",2,96,0.0034,0.0003,6,15,0.34609611998675005,0.4531267800822536,0.3361782506934109,0.41810398160069107
"(64, 32)",2,96,0.0034,0.0003,7,13,0.38172917299323317,0.4642267607741939,0.3652954441867784,0.4350488334191265
"(64, 32)",2,96,0.0034,0.0003,8,15,0.35949074030150335,0.4661279611335125,0.3436576464983547,0.4283904091611186
"(64, 32)",2,96,0.0034,0.0003,9,15,0.36165724775666036,0.4622985307793642,0.3447442406492409,0.425014207684764
"(64, 32)",2,96,0.0034,0.0003,10,15,0.36137891377227116,0.4651666020182206,0.3564785952671619,0.43197823583301753
"(64, 32)",2,96,0.0034,0.0004,6,15,0.342629154277937,0.45610002795528043,0.33428994205582246,0.4223808747192847
"(64, 32)",2,96,0.0034,0.0004,7,13,0.3794216333430459,0.46350428957747347,0.3643352102549517,0.43475979517531793
"(64, 32)",2,96,0.0034,0.0004,8,13,0.3754737750822203,0.4627875027481589,0.36005871648938365,0.43231615557275777
"(64, 32)",2,96,0.0034,0.0004,9,15,0.36121917295659256,0.4657117733557512,0.34276461056134366,0.4260975417268675
"(64, 32)",2,96,0.0034,0.0004,10,15,0.3648279218532116,0.47016117887631104,0.35985733478963633,0.43411598048307487
"(64, 32)",2,96,0.0034,0.0005,6,15,0.3452611589632132,0.4554973556581254,0.33661044566765314,0.42336993473683426
"(64, 32)",2,96,0.0034,0.0005,7,13,0.381064821414541,0.4630245725577474,0.36426621930825476,0.43150335312567095
"(64, 32)",2,96,0.0034,0.0005,8,15,0.3546022111644325,0.46508008705657916,0.34482111072043264,0.4275948437624736
"(64, 32)",2,96,0.0034,0.0005,9,15,0.36165946010439004,0.46360325122612683,0.34233730200673484,0.42496445100083835
"(64, 32)",2,96,0.0034,0.0005,10,15,0.3649081358483634,0.47007773446673584,0.3593583795578796,0.4340039172128231
"(64, 32)",2,96,0.0034,0.0006,6,15,0.3458521768487902,0.4605648946982187,0.3398202433950914,0.42547084145753344
"(64, 32)",2,96,0.0034,0.0006,7,13,0.3785496180247777,0.4614841441618472,0.3629724560191912,0.4315949044415842
"(64, 32)",2,96,0.0034,0.0006,8,15,0.3547449269968042,0.46667696984574286,0.34426879213725387,0.42896486572713743
"(64, 32)",2,96,0.0034,0.0006,9,15,0.36029098346902255,0.4642883009140684,0.34309183777714064,0.4246205941311587
"(64, 32)",2,96,0.0034,0.0006,10,15,0.36231562658511973,0.46894112289305523,0.35710472610548116,0.4333364480304737
"(64, 32)",2,96,0.0034,0.0007,6,15,0.3445265324283156,0.4526636039572067,0.3388443463557567,0.4220845766921933
"(64, 32)",2,96,0.0034,0.0007,7,13,0.3820337836381779,0.4619661163351422,0.36365801322545316,0.4309737632449618
"(64, 32)",2,96,0.0034,0.0007,8,15,0.3586936381578478,0.4701291977497283,0.34722330559205533,0.4292252342575147
"(64, 32)",2,96,0.0034,0.0007,9,15,0.36173855783895337,0.46416441150698623,0.3471803160334921,0.4271063147009836
"(64, 32)",2,96,0.0034,0.0007,10,15,0.3631022761071106,0.4698027819125305,0.3596819595684804,0.43521962374339135
"(64, 32)",2,96,0.0034,0.0008,6,13,0.37963115836104017,0.46110743145014843,0.3710409310347763,0.44033980744113016
"(64, 32)",2,96,0.0034,0.0008,7,13,0.3790027254749601,0.4622898427283532,0.36276988169821983,0.43150449110145894
"(64, 32)",2,96,0.0034,0.0008,8,15,0.36061237748847375,0.4692586776982079,0.34903361717005027,0.4322939446288496
"(64, 32)",2,96,0.0034,0.0008,9,15,0.3589051546930909,0.46186399021079066,0.3412372347904766,0.4237637869047519
"(64, 32)",2,96,0.0034,0.0008,10,15,0.36354326725053665,0.4674889134563047,0.35800379486696565,0.4317513457730744
"(64, 32)",2,96,0.0034,0.0009,6,15,0.35340826441371964,0.46319915440169307,0.341957677158401,0.42456150407497867
"(64, 32)",2,96,0.0034,0.0009,7,13,0.37820873363397023,0.46160778239967076,0.36309798166930096,0.4330148625682627
