Model,Val_Accuracy,Val_F1,Val_ROC_AUC,Test_Accuracy,Test_F1,Test_ROC_AUC
Logistic Regression,0.7133,0.721,0.7837,0.7133,0.7235,0.779
Neural Network,0.7467,0.5476,0.7407,0.7267,0.5591,0.7757
