Model,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
Ridge Regression,0.3512330614561979,0.42131021902823096,0.33692491634368044,0.3885982105075591
Decision Tree Regressor,0.3495964705027696,0.44540924782877744,0.30973978680518516,0.39652314687804036
